title,house_type,price,size,construction_costs
Dom w papawerach 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,128,331800
Domek letniskowy w krokusach 4 (A),Domek letniskowy parterowy,2300,25,74400
Domek letniskowy w krokusach 5,Domek letniskowy parterowy,2300,25,83500
Domek letniskowy w krokusach 4,Domek letniskowy parterowy,2300,36,95300
Domek letniskowy pod laskiem,Domek letniskowy parterowy,2300,38,96800
Domek letniskowy w krokusach,Domek letniskowy z poddaszem,2840,36,98600
Domek letniskowy nad potoczkiem,Domek letniskowy parterowy,2300,36,98800
Domek letniskowy nad źródełkiem 2,Domek letniskowy parterowy,2300,43,99300
Domek letniskowy w cienistkach 2,Domek letniskowy parterowy,2300,38,101000
Dom w krokusach (A),jednorodzinny z poddaszem,2840,36,104000
Domek letniskowy w cienistkach 3,Domek letniskowy z poddaszem,2840,37,106700
Domek letniskowy nad jeziorkiem,Domek letniskowy parterowy,2840,43,112600
Dom w kosaćcach 5 (N),jednorodzinny parterowy,2840,40,114200
Dom w kosaćcach 4 (N),jednorodzinny parterowy,2840,47,115900
Domek letniskowy nad źródełkiem,Domek letniskowy parterowy,2840,51,120300
Domek letniskowy nad źródełkiem 3,Domek letniskowy z poddaszem,2840,51,121400
Dom w kruszczykach 8 OZE,jednorodzinny parterowy,3140,41,122200
Dom w kuklikach,jednorodzinny parterowy,2840,50,123700
Dom w kruszczykach 6,jednorodzinny parterowy,2840,51,124200
Domek letniskowy nad rzeczką,Domek letniskowy parterowy,2840,49,124500
Dom w kruszczykach 7 OZE,jednorodzinny parterowy,3140,65,128100
Dom w borówkach,jednorodzinny z poddaszem,2840,54,134700
Dom w kruszczykach 8,jednorodzinny parterowy,2840,51,135300
Domek letniskowy na polance,Domek letniskowy z poddaszem,3060,62,135700
Dom w kruszczykach 7,jednorodzinny parterowy,2840,51,138300
Dom w modrakach,jednorodzinny z poddaszem,3060,72,144600
Dom w kruszczykach 3,jednorodzinny parterowy,2840,61,144800
Dom w kruszczykach 4,jednorodzinny parterowy,3060,51,144800
Dom w kruszczykach,jednorodzinny parterowy,2840,77,146000
Dom w kosaćcach (NA),jednorodzinny parterowy,3060,65,148500
Dom w papawerach 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,128,331800
Domek letniskowy w krokusach 4 (A),Domek letniskowy parterowy,2300,25,74400
Domek letniskowy w krokusach 5,Domek letniskowy parterowy,2300,25,83500
Domek letniskowy w krokusach 4,Domek letniskowy parterowy,2300,36,95300
Domek letniskowy pod laskiem,Domek letniskowy parterowy,2300,38,96800
Domek letniskowy w krokusach,Domek letniskowy z poddaszem,2840,36,98600
Domek letniskowy nad potoczkiem,Domek letniskowy parterowy,2300,36,98800
Domek letniskowy nad źródełkiem 2,Domek letniskowy parterowy,2300,43,99300
Domek letniskowy w cienistkach 2,Domek letniskowy parterowy,2300,38,101000
Dom w krokusach (A),jednorodzinny z poddaszem,2840,36,104000
Domek letniskowy w cienistkach 3,Domek letniskowy z poddaszem,2840,37,106700
Domek letniskowy nad jeziorkiem,Domek letniskowy parterowy,2840,43,112600
Dom w kosaćcach 5 (N),jednorodzinny parterowy,2840,40,114200
Dom w kosaćcach 4 (N),jednorodzinny parterowy,2840,47,115900
Domek letniskowy nad źródełkiem,Domek letniskowy parterowy,2840,51,120300
Domek letniskowy nad źródełkiem 3,Domek letniskowy z poddaszem,2840,51,121400
Dom w kruszczykach 8 OZE,jednorodzinny parterowy,3140,41,122200
Dom w kuklikach,jednorodzinny parterowy,2840,50,123700
Dom w kruszczykach 6,jednorodzinny parterowy,2840,51,124200
Domek letniskowy nad rzeczką,Domek letniskowy parterowy,2840,49,124500
Dom w kruszczykach 7 OZE,jednorodzinny parterowy,3140,65,128100
Dom w borówkach,jednorodzinny z poddaszem,2840,54,134700
Dom w kruszczykach 8,jednorodzinny parterowy,2840,51,135300
Domek letniskowy na polance,Domek letniskowy z poddaszem,3060,62,135700
Dom w kruszczykach 7,jednorodzinny parterowy,2840,51,138300
Dom w modrakach,jednorodzinny z poddaszem,3060,72,144600
Dom w kruszczykach 3,jednorodzinny parterowy,2840,61,144800
Dom w kruszczykach 4,jednorodzinny parterowy,3060,51,144800
Dom w kruszczykach,jednorodzinny parterowy,2840,77,146000
Dom w kosaćcach (NA),jednorodzinny parterowy,3060,65,148500
Dom w papawerach 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,128,331800
Domek letniskowy w krokusach 4 (A),Domek letniskowy parterowy,2300,25,74400
Domek letniskowy w krokusach 5,Domek letniskowy parterowy,2300,25,83500
Domek letniskowy w krokusach 4,Domek letniskowy parterowy,2300,36,95300
Domek letniskowy pod laskiem,Domek letniskowy parterowy,2300,38,96800
Domek letniskowy w krokusach,Domek letniskowy z poddaszem,2840,36,98600
Domek letniskowy nad potoczkiem,Domek letniskowy parterowy,2300,36,98800
Domek letniskowy nad źródełkiem 2,Domek letniskowy parterowy,2300,43,99300
Domek letniskowy w cienistkach 2,Domek letniskowy parterowy,2300,38,101000
Dom w krokusach (A),jednorodzinny z poddaszem,2840,36,104000
Domek letniskowy w cienistkach 3,Domek letniskowy z poddaszem,2840,37,106700
Domek letniskowy nad jeziorkiem,Domek letniskowy parterowy,2840,43,112600
Dom w kosaćcach 5 (N),jednorodzinny parterowy,2840,40,114200
Dom w kosaćcach 4 (N),jednorodzinny parterowy,2840,47,115900
Domek letniskowy nad źródełkiem,Domek letniskowy parterowy,2840,51,120300
Domek letniskowy nad źródełkiem 3,Domek letniskowy z poddaszem,2840,51,121400
Dom w kruszczykach 8 OZE,jednorodzinny parterowy,3140,41,122200
Dom w kuklikach,jednorodzinny parterowy,2840,50,123700
Dom w kruszczykach 6,jednorodzinny parterowy,2840,51,124200
Domek letniskowy nad rzeczką,Domek letniskowy parterowy,2840,49,124500
Dom w kruszczykach 7 OZE,jednorodzinny parterowy,3140,65,128100
Dom w borówkach,jednorodzinny z poddaszem,2840,54,134700
Dom w kruszczykach 8,jednorodzinny parterowy,2840,51,135300
Domek letniskowy na polance,Domek letniskowy z poddaszem,3060,62,135700
Dom w kruszczykach 7,jednorodzinny parterowy,2840,51,138300
Dom w modrakach,jednorodzinny z poddaszem,3060,72,144600
Dom w kruszczykach 3,jednorodzinny parterowy,2840,61,144800
Dom w kruszczykach 4,jednorodzinny parterowy,3060,51,144800
Dom w kruszczykach,jednorodzinny parterowy,2840,77,146000
Dom w kosaćcach (NA),jednorodzinny parterowy,3060,65,148500
Dom w sasankach,"jednorodzinny z poddaszem, ze stropem teriva",3060,80,149100
Dom w kruszczykach 2,jednorodzinny parterowy,2840,57,150500
Dom w bukszpanach 2 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3370,82,151900
Dom w murajach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3370,81,152800
Dom - Miniaturka,jednorodzinny z poddaszem,3060,90,153000
Dom w borówkach (N),jednorodzinny z poddaszem,3060,82,154200
Dom w everniach 3,jednorodzinny z poddaszem,3370,74,154900
Dom w zielistkach 2,jednorodzinny z poddaszem,3370,67,155000
Dom w zielistkach 2 (T),"jednorodzinny z poddaszem, ze stropem teriva",3370,93,156300
Dom w kosmosach,jednorodzinny z poddaszem,3370,102,157000
Dom w poziomkach 3,jednorodzinny z poddaszem,3370,89,157300
Dom w rododendronach 28,jednorodzinny z poddaszem,3370,89,158200
Dom w jeżynach 2,jednorodzinny parterowy,3060,84,159600
Dom w riveach 14,jednorodzinny z poddaszem,3370,89,160400
Dom w stokrotkach 4,jednorodzinny z poddaszem,3370,92,162000
Dom w brusznicach,jednorodzinny z poddaszem,3370,87,162200
